"","ID","GENDER_CODE","CITY","STATE_CODE","ZIPCODE","HAVE_PHONE","EMAIL_ADDRESS","DEGREE1_GRAD_DATE","DEGREE1_CAMPUS","DEGREE1_DEGREE","DEGREE1_SCHOOL","DEGREE1_MAJOR","DEGREE2_GRAD_DATE","DEGREE2_CAMPUS","DEGREE2_DEGREE","DEGREE2_SCHOOL","DEGREE2_MAJOR","NON.UT_DEGREES","SpouseGradUT","SPOUSE_NON_UT_DEGREES","RELATIONS_UT","FRATERNITY.SORORITY","STUDENT.LIFE","X1ST_GIFT_UT","WE","LOGAMOUNT"
"11841",2647,"F","Nashville","TN","37204","Yes","Present",1999,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",2004,"UTK","Doctor of Jurisprudence","Law - UTK","Law","No","","No","Missing","","Y",1999,"WE7 - $25,000 < $50,000",3.58642975996641
"7456",2649,"M","Knoxville","TN","37934","Yes","Present",1972,"UTK","Bachelor of Science","Bus Adm - UTK","Transportation/Logistics",NA," "," "," "," ","No","","No","Missing","UTK - Sigma Nu","Y",1980,"WE7 - $25,000 < $50,000",3.73319726510657
"34760",2650,"M","Boca Raton","FL","33433","Yes","Missing",1981,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",NA," "," "," "," ","No","","No","Present","UTK -  Alpha Epsilon Pi ","Y",1994,"WE5 - $100,000 < $250,000",3.31407799177921
"20120",2651,"F","Johnson City","TN","37604","Yes","Present",2007,"UTK","Master of Business Administration","Bus Adm - UTK","Business Administration",2007,"UTK","Doctor of Jurisprudence","Law - UTK","Law","No","","No","Missing","","N",2008,"WE7 - $25,000 < $50,000",1.8750612633917
"3111",2652,"M","Atlanta","GA","30328","Yes","Missing",1988,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",NA," "," "," "," ","No","Yes","No","Missing","","N",2010,"WE6 - $50,000 < $100,000",1.49136169383427
"14520",2653,"M","Knoxville","TN","37923","No","Present",2008,"UTK","Master of Business Administration","Bus Adm - UTK","Business Administration",NA," "," "," "," ","No","","No","Missing","","N",2009,"WE7 - $25,000 < $50,000",1.95424250943932
"23379",2654,"M","Greer","SC","29650","Yes","Present",1974,"UTK","Bachelor of Science","Bus Adm - UTK","Unknown",NA," "," "," "," ","No","","No","Missing","","N",1991,"WE6 - $50,000 < $100,000",2.86093662070009
"5730",2655,"M","Seattle","WA","98106","Yes","Present",2003,"UTK","Master of Business Administration","Bus Adm - UTK","Business Administration",NA," "," "," "," ","No","","No","Missing","","N",2004,"WEZ - Unable to Rate",2.69897000433602
"14998",2656,"F","Lakeland","FL","33803","Yes","Present",1989,"UTK","Bachelor of Science","Bus Adm - UTK","Transportation/Logistics",NA," "," "," "," ","No","","No","Missing","","N",1996,"WE6 - $50,000 < $100,000",1.39794000867204
"25977",2658,"M","Nashville","TN","37205","Yes","Missing",2006,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",NA," "," "," "," ","No","","No","Missing","","N",2009,"WEB - $2,500 < $5,000",1
"1573",2659,"F","Humboldt","TN","38343","Yes","Missing",1975,"UTK","Bachelor of Science","Bus Adm - UTK","Accounting",NA," "," "," "," ","No","Yes","No","Missing","","N",1993,"WE6 - $50,000 < $100,000",2.24303804868629
"13291",2660,"M","Knoxville","TN","37934","Yes","Present",1993,"UTK","Doctor of Jurisprudence","Law - UTK","Law",2002,"UTK","Master of Business Administration","Bus Adm - UTK","Business Administration","No","","No","Missing","","Y",1994,"WE5 - $100,000 < $250,000",2.83884909073726
"3520",2661,"M","Denver","NC","28037","Yes","Present",1993,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",NA," "," "," "," ","No","Yes","No","Missing","UTK - Phi Kappa Psi","Y",2001,"WE4 - $250,000 < $500,000",4.1156105116743
"2639",2662,"M","Nashville","TN","37220","Yes","Present",1973,"UTK","Bachelor of Science","Bus Adm - UTK","Marketing",NA," "," "," "," ","No","Yes","No","Missing","","N",1978,"WE2 - $1 million < $5 million",4.54039204873838
"40200",2663,"F","Greeneville","TN","37743","Yes","Present",1987,"UTK","Bachelor of Science","Bus Adm - UTK","Marketing",NA," "," "," "," ","No","Yes","No","Present","","N",1992,"WE7 - $25,000 < $50,000",2.34242268082221
"9172",2664,"M","Maryville","TN","37801","Yes","Present",1994,"UTK","Bachelor of Science","Bus Adm - UTK","Accounting",1995,"UTK","Master of Accountancy","Bus Adm - UTK","Accounting","No","","No","Missing","","Y",1994,"WE6 - $50,000 < $100,000",2
"36800",2665,"M","Nashville","TN","37215","Yes","Present",1993,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",NA," "," "," "," ","No","","No","Present","UTK - Phi Gamma Delta","Y",1993,"WE6 - $50,000 < $100,000",4
"22961",2668,"M","Knoxville","TN","37922","Yes","Present",1969,"UTK","Bachelor of Science","Bus Adm - UTK","General Business",1972,"UTK","Master of Business Administration","Bus Adm - UTK","Industrial Management","No","","No","Missing","","N",1992,"WE6 - $50,000 < $100,000",1.8750612633917
"1004",2669,"M","Oak Ridge","TN","37830","Yes","Present",1978,"UTK","Bachelor of Science","Bus Adm - UTK","Accounting",NA," "," "," "," ","No","Yes","No","Missing","UTK - Pi Kappa Alpha","Y",1986,"WE6 - $50,000 < $100,000",3.8494194137969
"10699",2670,"F","Knoxville","TN","37917","No","Present",2013,"UTK","Master of Arts","Bus Adm - UTK","Economics",NA," "," "," "," ","No","","No","Missing","","N",2014,"WEZ - Unable to Rate",1.77815125038364
"34682",2671,"M","Allen","TX","75013","Yes","Present",2007,"UTK","Bachelor of Science","Comm & Info - UTK","Journalism",2009,"UTK","Master of Business Administration","Bus Adm - UTK","Business Administration","No","Yes","No","Present","","Y",2009,"WEZ - Unable to Rate",1.17609125905568
"26503",2672,"F","Franklin","TN","37064","Yes","Missing",1998,"UTK","Bachelor of Science","Bus Adm - UTK","Management",NA," "," "," "," ","No","","No","Missing","","N",1998,"WEA - $5,000 < $10,000",1.65301945109961
"33139",2673,"F","Franklin","TN","37067","No","Missing",1978,"UTK","Certificate","Bus Adm - UTK","Public Administration",NA," "," "," "," ","No","","No","Missing","","N",1982,"WEZ - Unable to Rate",1.17609125905568
"35600",2674,"M","La Follette","TN","37766","Yes","Missing",1992,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",NA," "," "," "," ","No","","No","Present","UTK - Beta Theta Pi","Y",1992,"WE6 - $50,000 < $100,000",1.17609125905568
"31918",2675,"M"," "," ","Unknown","No","Missing",1986,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",NA," "," "," "," ","No","","No","Missing","","Y",1988,"WEZ - Unable to Rate",1.65321251377534
"1946",2677,"F","Soddy Daisy","TN","37379","Yes","Present",1984,"UTK","Bachelor of Science","Bus Adm - UTK","Transportation/Logistics",1991,"UTC","Master of Business Administration","Business - UTC","Business Administration","No","Yes","No","Missing","","N",1988,"WE5 - $100,000 < $250,000",4.11922288692358
"26349",2678,"F","Nashville","TN","37204","Yes","Missing",1998,"UTK","Master of Accountancy","Bus Adm - UTK","Accounting",NA," "," "," "," ","No","","No","Missing","","N",2012,"WE7 - $25,000 < $50,000",2.69897000433602
"14493",2680,"F","Solana Beach","CA","92075","Yes","Present",1974,"UTK","Bachelor of Science","Bus Adm - UTK","Marketing",NA," "," "," "," ","No","","No","Missing","UTK - Pi Beta Phi","Y",1981,"WE3 - $500,000 < $1 million",2.85733249643127
"35608",2681,"M","Shaw Afb","SC","29152","Yes","Present",1993,"UTK","Bachelor of Science","Bus Adm - UTK","Management",NA," "," "," "," ","No","","No","Present","","Y",1998,"WEZ - Unable to Rate",2.47712125471966
"37289",2682,"M","Maryville","TN","37804","Yes","Present",1973,"UTK","Bachelor of Science","Bus Adm - UTK","Personnel Management",NA," "," "," "," ","No","","No","Present","","N",1987,"WE5 - $100,000 < $250,000",3.13033376849501
"15732",2683,"M","Sewanee","TN","37375","Yes","Present",1968,"UTK","Bachelor of Science","Bus Adm - UTK","Journalism",NA," "," "," "," ","No","","No","Missing","","N",1988,"WE6 - $50,000 < $100,000",2.24303804868629
